Sampling	Condition	SampleID	Taunc	Tacorr	analyte_mass g	file name	CRM type	CRM TA umol_kg-1	Titrant nominal concentration M	Titrant stardized conc M	Titration_batch	Salinity	DIC	analyte_mass	CRM2
12h	5	5.12.2	2.19	2.281718344	49.2	T40356_20221215_1403_092_Tdata1	SS20221209_3	2430	0.1	0.1061	9	34.53	2029.92	0.0492	2214.54
12h	5	5.12.2	2.188	2.279718344	50.39	T40356_20221215_1403_092_Tdata2	SS20221209_3	2430	0.1	0.1061	9	34.53	2029.92	0.05039	2214.54
12h	5	5.12.3	2.249	2.340718344	55.35	T40356_20221215_1412_093_Tdata1	SS20221209_3	2430	0.1	0.1061	9	34.28	2029.92	0.05535	2214.54
12h	5	5.12.3	2.245	2.336718344	55.94	T40356_20221215_1412_093_Tdata2	SS20221209_3	2430	0.1	0.1061	9	34.28	2029.92	0.05594	2214.54
12h	6	6.12.1	3.252	3.343718344	49.26	T40356_20221215_1433_095_Tdata1	SS20221209_3	2430	0.1	0.1061	9	35.64	2029.92	0.04926	2214.54
12h	6	6.12.1	3.245	3.336718344	50.2	T40356_20221215_1433_095_Tdata3	SS20221209_3	2430	0.1	0.1061	9	35.64	2029.92	0.0502	2214.54
12h	6	6.12.2	3.441	3.532718344	50.05	T40356_20221215_1445_096_Tdata1	SS20221209_3	2430	0.1	0.1061	9	34.74	2029.92	0.05005	2214.54
12h	6	6.12.2	3.439	3.530718344	51.12	T40356_20221215_1445_096_Tdata2	SS20221209_3	2430	0.1	0.1061	9	34.74	2029.92	0.05112	2214.54
12h	7	7.12.1	2.207	2.298718344	50.95	T40356_20221215_1511_097_Tdata2	SS20221209_3	2430	0.1	0.1061	9	34.74	2029.92	0.05095	2214.54
12h	7	7.12.1	2.201	2.292718344	50.91	T40356_20221215_1511_097_Tdata3	SS20221209_3	2430	0.1	0.1061	9	34.74	2029.92	0.05091	2214.54
12h	7	7.12.2	2.181	2.272718344	52.68	T40356_20221215_1524_098_Tdata2	SS20221209_3	2430	0.1	0.1061	9	34.95	2029.92	0.05268	2214.54
12h	7	7.12.2	2.194	2.285718344	50.9	T40356_20221215_1524_098_Tdata3	SS20221209_3	2430	0.1	0.1061	9	34.95	2029.92	0.0509	2214.54
12h	7	7.12.3	2.18	2.271718344	50.71	T40356_20221215_1532_099_Tdata1	SS20221209_3	2430	0.1	0.1061	9	34.70	2029.92	0.05071	2214.54
12h	7	7.12.3	2.184	2.275718344	49.09	T40356_20221215_1532_099_Tdata2	SS20221209_3	2430	0.1	0.1061	9	34.70	2029.92	0.04909	2214.54
18h	5	5.18.1	2.28	2.28	50.77	T40356_20221207_1132_025_Tdata1	batch203_2	2214.54	0.1	0.1057	5	34.77	2029.92	0.05077	2214.54
18h	5	5.18.1	2.277	2.277	49.63	T40356_20221207_1132_025_Tdata2	batch203_2	2214.54	0.1	0.1057	5	34.77	2029.92	0.04963	2214.54
18h	5	5.18.2	2.295	2.295	48.84	T40356_20221207_1143_026_Tdata1	batch203_2	2214.54	0.1	0.1057	5	34.92	2029.92	0.04884	2214.54
18h	5	5.18.2	2.291	2.291	50.07	T40356_20221207_1143_026_Tdata2	batch203_2	2214.54	0.1	0.1057	5	34.92	2029.92	0.05007	2214.54
